Method,Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,Data Source,Comment
lu2024scaffold,Baseline,23.96,0.853,0.177,91226112,,https://arxiv.org/pdf/2312.00109,
lee2024compact,Baseline,23.32,0.831,0.201,41313894,836296,https://arxiv.org/src/2311.13681,
girish2024eagles,Baseline,23.37,0.84,0.20,30408704,,https://arxiv.org/pdf/2312.04564,
fan2024lightgaussian,Baseline,23.11,0.817,0.231,23068672,,https://arxiv.org/src/2311.17245,
morgenstern2024compact,Baseline,25.63,0.864,0.208,22439526,,https://raw.githubusercontent.com/fraunhoferhhi/Self-Organizing-Gaussians/main/results,
lee2024compact,+PP,23.32,0.831,0.202,21915238,,https://arxiv.org/src/2311.13681,
girish2024eagles,-Small,23.1,0.82,0.22,19922944,650000,https://arxiv.org/pdf/2312.04564,
niedermayr2024compressed,Baseline,23.324,0.832,0.194,18119393,,https://arxiv.org/pdf/2401.02436,
papantonakis2024reducing,Baseline,23.57,0.84,0.188,14680064,680000,https://repo-sam.inria.fr/fungraph/reduced_3dgs/reduced_3DGS_i3d.pdf,
chen2024hac,,24.25,0.853,0.176,13799260,,https://arxiv.org/pdf/2403.14530,
navaneet2023compact3d," 32K",23.44,0.838,0.198,13631488,520000,https://arxiv.org/src/2311.18159,
navaneet2023compact3d," 16K",23.39,0.836,0.200,12582912,,https://arxiv.org/src/2311.18159,
wang2024end,Baseline,23.34,0.835,0.195,12022710,,https://raw.githubusercontent.com/USTC-IMCL/RDO-Gaussian/main/results,
chen2024hac,-highrate,24.40,0.853,0.177,11785994,,https://arxiv.org/src/2403.14530,==λ1e-3
sun2024f3dgs,-CP-16,30.29,0.957,0.061,11471421,,https://arxiv.org/pdf/2405.17083,[N/T][N/P]
chen2024hac,,24.33,0.850,0.181,10380902,,https://arxiv.org/pdf/2403.14530,
chen2024hac,,24.24,0.849,0.183,9122611,,https://arxiv.org/pdf/2403.14530,
morgenstern2024compact," w/o SH",25.27,0.857,0.217,8598323,,https://raw.githubusercontent.com/fraunhoferhhi/Self-Organizing-Gaussians/main/results,
chen2024hac,-lowrate,24.04,0.846,0.187,8493465,,https://arxiv.org/src/2403.14530,==λ4e-3
wang2024end,,23.28,0.831,0.202,8017022,,https://raw.githubusercontent.com/USTC-IMCL/RDO-Gaussian/main/results,
wang2024end,,23.14,0.823,0.214,5492385,,https://raw.githubusercontent.com/USTC-IMCL/RDO-Gaussian/main/results,
wang2024end,,22.98,0.812,0.233,3737081,,https://raw.githubusercontent.com/USTC-IMCL/RDO-Gaussian/main/results,
