Method,Submethod,PSNR,SSIM,LPIPS,Size [Bytes],#Gaussians,Data Source,Comment
chen2024hac,-lowrate,33.24,0.967,0.037,1236009,99924.0,https://raw.githubusercontent.com/YihangChen-ee/HAC/main/results,
chen2024hac,-highrate,33.71,0.968,0.034,1950692,143127.0,https://raw.githubusercontent.com/YihangChen-ee/HAC/main/results,
fan2024lightgaussian,Baseline,32.725,0.965,0.037,7838000,,https://arxiv.org/pdf/2311.17245,"Taken from Table 6, avg of per-scene results"
lee2024compact,+PP,32.88,0.968,0.034,2799698,,https://arxiv.org/pdf/2403.14530,
lee2024compact,Baseline,33.33,0.968,0.034,5809111,,https://arxiv.org/pdf/2403.14530,
morgenstern2024compact, w/o SH,31.37,0.959,0.043,1978015,175871.0,https://raw.githubusercontent.com/fraunhoferhhi/Self-Organizing-Gaussians/main/results,
morgenstern2024compact,Baseline,33.23,0.966,0.034,4132631,157322.0,https://raw.githubusercontent.com/fraunhoferhhi/Self-Organizing-Gaussians/main/results,
niedermayr2024compressed,Baseline,32.936,0.967,0.033,3686000,,https://arxiv.org/pdf/2401.02436,
sun2024f3dgs,-CP-16,32.42,0.964,0.040,6354370,,https://arxiv.org/pdf/2405.17083,[N/T][N/P] PSNR 32.42 in Table 1 and 32.48 in Table 9
wang2024end,,32.01,0.961,0.043,1016378,44811.0,https://raw.githubusercontent.com/USTC-IMCL/RDO-Gaussian/main/results,
wang2024end,,32.56,0.964,0.038,1331577,64772.0,https://raw.githubusercontent.com/USTC-IMCL/RDO-Gaussian/main/results,
wang2024end,,32.97,0.967,0.035,1838843,99988.0,https://raw.githubusercontent.com/USTC-IMCL/RDO-Gaussian/main/results,
wang2024end,Baseline,33.12,0.967,0.035,2314380,132811.0,https://raw.githubusercontent.com/USTC-IMCL/RDO-Gaussian/main/results,
wu2024implicit, low,33.36,0.971,0.036,1949555,157006.0,https://raw.githubusercontent.com/wuminye/ImplicitGS/main/results,
wu2024implicit, high,34.18,0.975,0.032,2860954,157006.0,https://raw.githubusercontent.com/wuminye/ImplicitGS/main/results,
xie2024mesongs, c3,32.96,0.968,0.033,3498725,207100.0,https://raw.githubusercontent.com/ShuzhaoXie/MesonGS/main/results,
xie2024mesongs, c1,32.94,0.968,0.033,3873306,235531.0,https://raw.githubusercontent.com/ShuzhaoXie/MesonGS/main/results,
